cpf,score,renda_mensal,limite_credito,data_ultima_atualizacao
185.204.796-85,876,4445.59,5825.3,2025-03-08
295.836.104-70,622,14889.37,19970.98,2025-03-16
273.805.149-97,867,18998.66,25027.11,2025-03-26
032.476.581-90,677,5103.08,4666.71,2025-03-07
091.523.846-24,535,9727.41,8031.3,2025-03-10
051.634.798-57,721,19215.56,25862.2,2025-03-25
587.461.029-49,467,11276.87,19871.06,2025-03-11
806.917.532-02,681,13702.01,13713.49,2025-03-07
052.186.943-98,357,7649.7,14498.64,2025-03-28
742.961.058-76,512,19817.94,10628.29,2025-03-28
406.321.798-13,525,6555.71,9920.54,2025-03-17
748.956.123-09,785,16663.61,10200.83,2025-03-26
586.713.049-57,806,10158.75,17153.17,2025-03-17
016.458.293-24,397,12567.39,15550.78,2025-03-26
580.763.194-39,727,3245.43,6211.98,2025-03-22
653.480.179-57,861,17613.58,24063.25,2025-03-08
465.387.902-83,635,14402.69,8723.91,2025-03-22
379.526.804-47,883,5827.79,3396.59,2025-03-15
439.125.670-34,729,10791.04,11493.59,2025-03-16
862.439.715-46,403,10813.64,11663.24,2025-03-08
297.160.483-78,715,13341.14,10266.31,2025-03-27
837.051.962-86,510,18649.09,36195.47,2025-03-17
625.487.091-67,850,17818.74,19946.27,2025-04-05
079.528.134-04,898,18172.07,27046.65,2025-03-21
602.458.197-11,706,4737.3,6045.5,2025-03-14
847.163.502-07,447,18057.62,33852.28,2025-03-14
169.058.743-10,894,13396.29,14908.22,2025-04-03
602.371.495-16,794,9979.7,15626.24,2025-03-27
273.461.509-61,826,1988.67,2316.09,2025-03-31
659.480.713-75,467,16926.28,20986.04,2025-03-16
257.946.018-76,823,9449.26,18771.58,2025-03-20
476.295.180-30,726,2729.05,4035.31,2025-04-03
465.098.312-60,679,17475.29,32921.42,2025-03-08
852.403.179-41,808,12782.64,14844.16,2025-03-11
248.506.937-92,644,9397.74,13090.66,2025-03-25
098.274.651-20,738,5261.19,6768.55,2025-03-26
092.716.438-87,451,10739.86,9685.82,2025-03-20
984.052.637-56,471,15357.75,15282.29,2025-03-15
984.156.732-64,638,12904.6,22876.37,2025-03-28
378.056.429-74,785,15542.84,30637.64,2025-04-03
703.962.814-78,766,17916.38,28119.43,2025-03-22
935.061.827-30,803,4899.72,5053.34,2025-03-18
960.813.752-77,571,12120.26,19385.72,2025-03-21
408.762.513-35,528,9564.72,14222.63,2025-03-10
294.856.107-85,838,14670.21,24279.11,2025-03-22
043.951.678-10,817,16188.71,21131.24,2025-03-26
206.381.749-96,609,16157.64,23678.96,2025-03-24
824.976.315-73,660,5423.94,8282.84,2025-03-31
826.195.374-28,515,6623.86,13210.46,2025-03-15
509.728.641-30,705,17644.42,13317.36,2025-03-16
037.289.451-88,371,10100.0,12110.9,2025-03-22
508.724.319-32,337,11035.26,16605.84,2025-03-09
862.071.594-11,842,11983.66,22826.4,2025-03-24
463.209.718-78,687,15465.43,8301.36,2025-04-05
358.470.192-97,376,10814.38,16260.7,2025-03-11
326.719.084-31,821,3183.22,3383.55,2025-03-23
102.893.675-30,509,17654.16,19521.91,2025-03-13
854.970.613-20,525,3016.15,2565.51,2025-03-30
461.805.923-06,568,14276.74,17705.53,2025-03-23
367.185.249-64,826,19911.32,38099.68,2025-04-05
875.023.619-95,571,16947.44,27779.16,2025-03-27
078.514.932-50,804,4539.02,5430.61,2025-03-28
765.890.142-30,774,15593.54,28437.22,2025-03-31
429.087.513-05,567,8816.47,15765.56,2025-03-10
349.815.672-19,544,19049.07,30333.76,2025-03-10
186.079.352-59,777,14983.98,25248.56,2025-03-24
981.637.405-66,368,2073.78,3865.68,2025-03-12
329.068.574-83,600,16915.16,11096.97,2025-03-17
245.769.831-64,522,5991.37,6690.06,2025-03-12
721.598.643-82,606,17324.47,14308.5,2025-03-29
123.078.695-30,758,12775.22,21761.46,2025-04-03
128.690.754-30,574,4374.84,2226.25,2025-03-14
365.879.140-39,703,3017.06,2605.29,2025-03-10
287.934.510-32,766,11760.01,16188.67,2025-03-14
752.168.394-37,487,2361.86,2158.17,2025-03-14
761.430.295-80,622,2920.89,1763.36,2025-03-30
012.568.743-53,457,9197.15,15747.07,2025-03-12
078.154.296-02,578,18136.74,28558.5,2025-03-20
172.306.485-80,469,17349.63,20230.98,2025-03-14
245.183.679-28,783,13713.99,18818.7,2025-04-05
684.573.920-00,820,4680.51,6123.71,2025-03-16
635.907.214-99,537,3598.76,1892.78,2025-03-31
791.803.246-22,690,19112.55,13860.32,2025-03-13
819.640.235-05,692,5457.15,5597.4,2025-03-13
653.072.981-02,416,15127.16,23822.42,2025-03-10
197.860.425-49,474,16411.84,8831.83,2025-03-10
706.238.491-78,818,5256.42,5264.54,2025-03-07
125.437.086-26,340,2297.72,1403.26,2025-03-24
673.250.149-61,883,8765.21,17064.46,2025-03-12
174.903.582-05,393,16629.12,26923.35,2025-03-15
937.502.186-68,448,14566.0,27675.29,2025-03-26
853.721.946-00,327,9141.9,12614.53,2025-03-21
067.359.248-00,485,2164.08,2074.07,2025-03-20
398.027.146-31,590,18749.91,13863.86,2025-03-10
082.471.569-11,664,2756.18,1432.87,2025-03-14
846.179.325-00,597,15996.87,13284.25,2025-03-17
520.479.136-16,721,10128.04,7130.38,2025-03-27
459.201.738-23,624,7736.51,7703.65,2025-03-29
842.160.935-15,465,12755.35,13389.77,2025-03-17
728.104.356-26,667,17227.48,23600.26,2025-04-05
