CPF,LimiteCredito,Score,RendaMensal,DataAtualizacao
15602374906,19494.91,512,14257.29,2025-04-21
76841523008,8165.76,602,15883.52,2025-04-21
14370926831,15643.49,366,12013.17,2025-04-21
85704639100,3043.22,501,11467.85,2025-04-21
19874365200,10590.07,560,15589.82,2025-04-21
31680597221,16982.33,499,10890.16,2025-04-21
70425619370,4659.05,486,7784.08,2025-04-21
25478931004,5687.54,672,10085.6,2025-04-21
05691743848,14674.56,551,9564.65,2025-04-21
89067523186,18095.5,767,16774.08,2025-04-21
38604259783,699.06,505,2643.6,2025-04-21
82097163521,17395.16,619,4045.63,2025-04-21
81574230662,8668.01,839,14600.23,2025-04-21
30726849529,13353.64,544,11447.31,2025-04-21
65890472194,9887.53,559,10754.06,2025-04-21
82506137408,15528.78,753,7646.04,2025-04-21
30478695101,3742.26,973,5997.21,2025-04-21
17305489204,4714.36,656,18171.51,2025-04-21
60849153700,13190.29,981,7035.33,2025-04-21
63419207506,9563.16,944,17823.0,2025-04-21
85230694700,17829.54,311,8396.74,2025-04-21
70684153262,14298.57,471,14224.75,2025-04-21
98546072167,17631.36,589,12129.11,2025-04-21
58169437075,10496.95,654,8961.0,2025-04-21
51420697307,9859.39,737,19413.18,2025-04-21
21476503907,18653.78,394,19863.39,2025-04-21
82607193478,9150.6,441,3127.88,2025-04-21
56217340925,14008.82,353,4177.4,2025-04-21
10273895460,11535.23,321,11293.61,2025-04-21
49376105206,13422.89,950,11153.59,2025-04-21
61942385773,1318.86,967,13978.95,2025-04-21
16027598476,13187.55,594,13958.57,2025-04-21
24716358062,4422.75,370,14179.95,2025-04-21
69750312406,3795.86,413,4939.65,2025-04-21
08745612307,14211.95,769,2135.65,2025-04-21
17809542397,14332.02,835,12364.04,2025-04-21
16854320771,13807.21,587,7931.28,2025-04-21
47806231544,7065.94,897,6415.62,2025-04-21
36092478510,14476.78,680,8762.26,2025-04-21
81576930475,7137.19,598,9738.39,2025-04-21
21653870435,11101.37,946,9606.2,2025-04-21
48152390704,12767.73,866,3320.86,2025-04-21
57896341093,1845.55,819,13752.43,2025-04-21
01794586202,10518.16,682,4888.44,2025-04-21
50719832497,6393.76,709,17436.79,2025-04-21
73980451232,17063.6,474,14915.43,2025-04-21
84719236022,8692.82,691,1231.86,2025-04-21
87195304639,18343.08,860,17552.09,2025-04-21
10582436753,6032.89,701,18687.23,2025-04-21
18946703296,10303.64,897,18054.66,2025-04-21
32041856998,18837.13,750,9579.67,2025-04-21
17286950312,10225.66,332,4827.7,2025-04-21
